years_window,upstream_year,state,cace,se,type,fe_cace,fe_se,re_cace,re_se
98-12,98,IA,NA,NA,state,NA,NA,NA,NA
98-12,98,IL,0.9679782143530963,0.20352238951729412,state,NA,NA,NA,NA
98-12,98,KY,NA,NA,state,NA,NA,NA,NA
98-12,98,MI,NA,NA,state,NA,NA,NA,NA
98-12,98,MO,0.8299396090207035,0.3021153013797894,state,NA,NA,NA,NA
98-12,98,MO05,NA,NA,state,NA,NA,NA,NA
98-12,98,MT,NA,NA,state,NA,NA,NA,NA
98-12,98,NJ,NA,NA,state,NA,NA,NA,NA
98-12,98,NV,NA,NA,state,NA,NA,NA,NA
98-12,98,NY,NA,NA,state,NA,NA,NA,NA
98-12,98,OK,NA,NA,state,NA,NA,NA,NA
98-12,98,OR,NA,NA,state,NA,NA,NA,NA
98-12,98,PA,NA,NA,state,NA,NA,NA,NA
98-12,98,RI,NA,NA,state,NA,NA,NA,NA
00-12,00,meta,NA,NA,meta,0.18638364296519067,0.023802034675187173,0.19966429368156866,0.0336384257395425
02-12,02,meta,NA,NA,meta,0.27150218690688144,0.03910441594616851,0.32111332762655587,0.06458190911162251
04-12,04,meta,NA,NA,meta,0.08882957728290103,0.007373963788959018,0.1065905944980791,0.016078139163516105
06-12,06,meta,NA,NA,meta,0.17599560034318257,0.019202037877997766,0.20395798157661038,0.029390964875125394
08-12,08,meta,NA,NA,meta,0.11723830388583333,0.004686603580100825,0.12228748332098432,0.010283629188311477
10-12,10,meta,NA,NA,meta,0.1105198030328513,0.019156041829626567,0.10952119073658842,0.025261957745063214
92-12,92,meta,NA,NA,meta,0.6377103311993283,0.07998496483330932,0.6539061704182413,0.09628488554163168
94-12,94,meta,NA,NA,meta,0.2637055700128604,0.16159379989729958,0.24435215219110396,0.18917784311702784
96-12,96,meta,NA,NA,meta,0.2663192953887398,0.05482797818373675,0.24640414368099225,0.07916866210075615
98-12,98,meta,NA,NA,meta,0.9855934130374616,0.1409350154754358,0.9855934130374616,0.1409350154754358
